timestamp,pageview
2020060200,27
2020060300,1860
2020060400,1408
2020060500,1539
2020060600,1209
2020060700,970
2020060800,1156
2020060900,1273
2020061000,1503
2020061100,1982
2020061200,1717
2020061300,1219
2020061400,950
2020061500,767
2020061600,782
2020061700,502
2020061800,581
2020061900,459
2020062000,511
2020062100,526
2020062200,508
2020062300,516
2020062400,526
2020062500,431
2020062600,265
2020062700,302
2020062800,291
2020062900,342
2020063000,339
2020070100,468
2020070200,541
2020070300,291
2020070400,300
2020070500,475
2020070600,454
2020070700,265
2020070800,284
2020070900,271
2020071000,215
2020071100,163
2020071200,211
2020071300,220
2020071400,176
2020071500,155
2020071600,168
2020071700,186
2020071800,152
2020071900,175
2020072000,300
2020072100,418
2020072200,317
2020072300,197
2020072400,256
2020072500,252
2020072600,340
2020072700,294
2020072800,237
2020072900,207
2020073000,223
2020073100,92
2020080100,94
2020080200,74
2020080300,116
2020080400,85
2020080500,79
2020080600,72
2020080700,65
2020080800,55
2020080900,54
2020081000,69
2020081100,102
2020081200,87
2020081300,51
2020081400,89
2020081500,63
2020081600,96
2020081700,101
2020081800,127
2020081900,58
2020082000,111
2020082100,166
2020082200,100
2020082300,142
2020082400,78
2020082500,104
2020082600,111
2020082700,179
2020082800,123
2020082900,82
2020083000,418
2020083100,128
2020090100,100
2020090200,108
2020090300,97
2020090400,89
2020090500,73
2020090600,118
2020090700,81
2020090800,90
2020090900,73
2020091000,59
2020091100,69
2020091200,53
2020091300,45
2020091400,66
2020091500,45
2020091600,50
2020091700,66
2020091800,49
2020091900,41
2020092000,51
2020092100,67
2020092200,46
2020092300,53
2020092400,55
2020092500,58
2020092600,46
2020092700,34
2020092800,48
2020092900,46
2020093000,42
2020100100,33
2020100200,35
2020100300,32
2020100400,33
2020100500,32
2020100600,40
2020100700,54
2020100800,39
2020100900,43
2020101000,39
2020101100,27
2020101200,62
2020101300,49
2020101400,37
2020101500,35
2020101600,45
2020101700,37
2020101800,48
2020101900,40
2020102000,38
2020102100,46
2020102200,57
2020102300,34
2020102400,43
2020102500,51
2020102600,85
2020102700,55
2020102800,47
2020102900,60
2020103000,37
2020103100,34
2020110100,49
2020110200,82
2020110300,67
2020110400,80
2020110500,62
2020110600,36
2020110700,35
2020110800,45
2020110900,38
2020111000,51
2020111100,24
2020111200,43
2020111300,24
2020111400,34
2020111500,42
2020111600,34
2020111700,25
2020111800,31
2020111900,32
2020112000,43
2020112100,29
2020112200,31
2020112300,29
2020112400,26
2020112500,31
2020112600,27
2020112700,21
2020112800,20
2020112900,25
2020113000,28
2020120100,22
2020120200,42
2020120300,19
2020120400,28
2020120500,24
2020120600,25
2020120700,30
2020120800,33
2020120900,28
2020121000,35
2020121100,32
2020121200,32
2020121300,44
2020121400,22
2020121500,30
2020121600,28
2020121700,26
2020121800,22
2020121900,24
2020122000,27
2020122100,21
2020122200,21
2020122300,33
2020122400,22
2020122500,15
2020122600,23
2020122700,26
2020122800,20
2020122900,32
2020123000,14
2020123100,28
